"timestamp","ap_compressor","atmospherictemperature","dischargepressure","dischargetemperature","suctionpressure","suctiontemperature","totalfuel","totalhorsepower","id"
2025-10-18 10:00:00.000,WOLF POINT,,1317.63305664,,1319.28015137,,,18000.0,10000542
2025-10-18 10:00:00.000,CULBERTSON,,1323.99389648,,1323.32739258,,,38000.0,9999674
2025-10-18 10:00:00.000,GLEN ULLIN,,1343.65539551,,1043.21960449,,,38000.0,9999984
2025-10-18 10:00:00.000,GLASGOW,,1323.66064453,,1321.09716797,,,29000.0,9999922
2025-10-18 10:00:00.000,CLARK,,1280.64709473,,981.12683105,,,38000.0,9999612
2025-10-18 10:00:00.000,WETONKA,,1302.81982422,,1002.71716309,,,38000.0,10000480
2025-10-18 10:00:00.000,LA MOILLE,,991.04510498,,811.47735596,,,13000.0,10000108
2025-10-18 10:00:00.000,GARVIN,,1274.9552002,,975.54467773,,,38000.0,9999860
2025-10-18 10:00:00.000,GRUNDY CENTER,,911.76678467,,911.39886475,,,13000.0,10000046
2025-10-18 10:00:00.000,TRIMONT,,1283.31188965,,998.25683594,,,38000.0,10000356
2025-10-18 10:00:00.000,LONE TREE,,790.0703125,,790.50561523,,,16000.0,10000170
2025-10-18 10:00:00.000,ESTELLINE,,1271.36633301,,970.93054199,,,38000.0,9999798
2025-10-18 10:00:00.000,ELDRIDGE,,888.31829834,,706.77520752,,,15000.0,9999736
2025-10-18 10:00:00.000,ST ANTHONY,,1343.32214355,,1043.55285645,,,38000.0,10000294
2025-10-18 10:00:00.000,ARNEGARD,,1294.48657227,,1298.08081055,,,18000.0,9999550
2025-10-18 10:00:00.000,VENTURA REG,,972.63006592,,974.83795166,,,0.0,10000418
2025-10-18 10:00:00.000,MANNING,,1345.70617676,,1070.39221191,,,38000.0,10000232
2025-10-18 09:00:00.000,GARVIN,,1275.98059082,,976.05737305,,,38000.0,9999861
2025-10-18 09:00:00.000,ST ANTHONY,,1343.1427002,,1043.39904785,,,38000.0,10000295
2025-10-18 09:00:00.000,CLARK,,1280.2310791,,980.44018555,,,38000.0,9999613
2025-10-18 09:00:00.000,TRIMONT,,1284.5423584,,999.33349609,,,38000.0,10000357
2025-10-18 09:00:00.000,GRUNDY CENTER,,913.64007568,,913.37792969,,,13000.0,10000047
2025-10-18 09:00:00.000,GLEN ULLIN,,1343.65539551,,1043.39904785,,,38000.0,9999985
2025-10-18 09:00:00.000,CULBERTSON,,1323.66064453,,1322.63525391,,,38000.0,9999675
2025-10-18 09:00:00.000,WOLF POINT,,1317.10888672,,1318.89196777,,,18000.0,10000543
2025-10-18 09:00:00.000,VENTURA REG,,973.70733643,,976.03808594,,,0.0,10000419
2025-10-18 09:00:00.000,ZEELAND,,1318.20043945,,1018.09790039,,,38000.0,10000605
