"ap_compressor","timestamp","ap_compressorunit_gtn","bhp","enginestatus"
Manning_Unit01,2025-10-18 09:00:00.000,"5",23093.06054688,R
Arnegard_Unit01,2025-10-18 09:00:00.000,"4",0.0,A
Desplains_Unit01,2025-10-18 09:00:00.000,"18",65535.0,U
Clark_Unit01,2025-10-18 09:00:00.000,"10",29602.78125,R
WolfPoint_Unit01,2025-10-18 09:00:00.000,"2",0.74141049,A
Estelline_Unit01,2025-10-18 09:00:00.000,"11",28825.47070313,R
GrundyCenter_Unit01,2025-10-18 09:00:00.000,"14",-5.61118317,A
LaMoille_Unit01,2025-10-18 09:00:00.000,"17",2131.9296875,R
Glasgow_Unit01,2025-10-18 09:00:00.000,"1",1.0,U
Culbertson_Unit01,2025-10-18 09:00:00.000,"3",0.0,A
Eldridge_Unit01,2025-10-18 09:00:00.000,"16",-6.96665812,R
Zeeland_Unit01,2025-10-18 09:00:00.000,"8",12.81701756,R
GlenUllin_Unit01,2025-10-18 09:00:00.000,"6",0.0,R
LoneTree_Unit01,2025-10-18 09:00:00.000,"15",,A
Garvin_Unit01,2025-10-18 09:00:00.000,"12",28049.40234375,R
Manning_Unit01,2025-10-18 08:00:00.000,"5",23096.90429688,R
Culbertson_Unit01,2025-10-18 08:00:00.000,"3",0.0,A
Glasgow_Unit01,2025-10-18 08:00:00.000,"1",1.0,U
WolfPoint_Unit01,2025-10-18 08:00:00.000,"2",0.74141049,A
Trimont_Unit01,2025-10-18 08:00:00.000,"13",102.53614044,R
GlenUllin_Unit01,2025-10-18 08:00:00.000,"6",0.0,R
StAnthony_Unit01,2025-10-18 08:00:00.000,"7",12.81701756,R
GrundyCenter_Unit01,2025-10-18 08:00:00.000,"14",-5.73381805,A
Zeeland_Unit01,2025-10-18 08:00:00.000,"8",12.81701756,R
Clark_Unit01,2025-10-18 08:00:00.000,"10",29210.41601563,R
Wetonka_Unit01,2025-10-18 08:00:00.000,"9",30962.70898438,R
LaMoille_Unit01,2025-10-18 08:00:00.000,"17",2124.07983398,R
Desplains_Unit01,2025-10-18 08:00:00.000,"18",65535.0,U
Arnegard_Unit01,2025-10-18 08:00:00.000,"4",0.0,A
