"timestamp","ap_meter","btu","flow_rate_mmcfd","pressure","id","current_daytotal_mmcf","minop"
2025-10-18 02:00:00.000,230240,1032.6710205078,414.0107116699,1337.6414794922,2777273,,1200
2025-10-18 02:00:00.000,220530,1081.2839355469,235.4410552979,903.2155151367,2777149,,800
2025-10-18 02:00:00.000,220960,1084.9844970703,814.8452758789,983.1752929688,2777211,,800
2025-10-18 01:00:00.000,230240,1032.8526611328,406.535736084,1334.9448242188,2777274,,1200
2025-10-18 01:00:00.000,220030,1083.4169921875,173.4065856934,849.4489135742,2777088,,712
2025-10-18 01:00:00.000,220960,1083.8560791016,853.8207397461,981.5006103516,2777212,,800
2025-10-18 01:00:00.000,220530,1079.4205322266,235.1628417969,899.8560180664,2777150,,800
2025-10-18 01:00:00.000,230500,1057.2443847656,694.9337158203,1297.7692871094,2777336,,1060
2025-10-18 00:00:00.000,220530,1080.1358642578,235.2257385254,896.4965209961,2777151,,800
2025-10-18 00:00:00.000,230500,1058.7344970703,703.6135864258,1296.4738769531,2777337,,1060
2025-10-18 00:00:00.000,220960,1085.3979492188,861.127746582,983.8925170898,2777213,,800
2025-10-18 00:00:00.000,220030,1086.1457519531,174.1106567383,851.5572509766,2777089,,712
2025-10-18 00:00:00.000,230240,1032.7333984375,403.825012207,1332.2813720703,2777275,,1200
2025-10-17 23:00:00.000,230500,1057.8859863281,699.7879638672,1295.5051269531,2777338,,1060
2025-10-17 23:00:00.000,220530,1087.0421142578,234.773223877,895.8247070313,2777152,,800
2025-10-17 23:00:00.000,220030,1084.6223144531,173.96144104,854.5280761719,2777090,,712
2025-10-17 23:00:00.000,220960,1085.3540039063,864.7771606445,986.4346313477,2777214,,800
2025-10-17 23:00:00.000,230240,1032.1740722656,390.8711242676,1327.9099121094,2777276,,1200
2025-10-17 22:00:00.000,230500,1058.9608154297,705.3193969727,1292.8765869141,2777339,,1060
2025-10-17 22:00:00.000,220030,1085.1912841797,173.4111938477,858.8404541016,2777091,,712
